year,value
2018,1.044
2019,1.044
2020,1.044
2021,1.043
2022,1.043
2023,1.043
2024,1.043
2025,1.043
2026,1.043
2027,1.043
2028,1.043
2029,1.043
2030,1.043
2031,1.041
2032,1.041
2033,1.041
2034,1.041
2035,1.041
2036,1.041
2037,1.041
2038,1.041
2039,1.041
2040,1.041
2041,1.04
2042,1.04
2043,1.04
2044,1.04
2045,1.04
2046,1.04
2047,1.04
2048,1.04
2049,1.04
2050,1.04
2051,1.04
2052,1.04
2053,1.04
2054,1.04
2055,1.04
2056,1.04
2057,1.04
2058,1.04
2059,1.04
2060,1.04
